Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, Submerged in Quicksand
Green Satin and Lace Garter Belt with Matching Thong, Charmer, Short, Thin, Heart-Shaped Face, Tan Skin, Black Hair, amethyst Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Sleek Bun, augmented breasts, Cuff earrings, soft pink metallic lipstick, Marinating in Non-toxic slime
Black Lace Bustier, Phenom, Tall, Slim, Heart-Shaped Face, Tan Skin, Silver Hair, Green Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Short Afro, augmented breasts, Hoop earrings, cherry metallic lipstick, Marinating in Ball pit filled with water beads
Fuchsia Mesh Halter Bra and Panty Set, Charmer, Tall, in shape, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Ponytail, large breasts, Faux gauge earrings, brown stain lipstick, Engulfed in Water
Maroon Satin and Lace Corset , Lady, Short, in shape, Heart-Shaped Face, Fair Skin, Black Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Loose Curls, firm breasts, Stud earrings, soft pink matte lipstick, Surrounded by Baby oil
Lavender Lace Bra and Panty Set , Starlet, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Auburn Hair, green Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Curled Bob, natural breasts, grape sheer lipstick, Plunged in Glycerin
Blue Strappy Bodysuit with Cutouts, Madam, Short, Lean, Oval Face, Dark Skin, Golden Blonde Hair, Green Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Curled Bob, natural breasts, Stud earrings, grape matte lipstick, Surrounded by Non-toxic slime
Purple Velvet Robe with Fur Trim , Charmer, Short, Athletic, Oval Face, Fair Skin, Strawberry Blonde Hair, Sapphire Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Blunt Cut Bangs, large breasts, Threader earrings, plum cream lipstick, Saturated in Saltwater
Olive Green Mesh Garter Belt with Stockings, Belle, Average Height, Narrow Hips, Square Face, Dark Skin, Red Hair, purple Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, soft breasts, Cuff earrings, peach gloss lipstick, Soaking in Foam
Mint Green Mesh Teddy , Superwoman, Short, Thin, Triangular Face, Dark Skin, Platinum Blonde Hair, Gray Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, French Braid, saggy breasts, Clip-on earrings, hot pink stain lipstick, Saturated in Glycerin
Yellow Mesh Bralette and High-Waisted Panty Set, Female Warrior, Tall, Wide Hips, Round Face, Fair Skin, Gray Hair, red Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, round breasts, magenta metallic lipstick, Coated in Foam
Red Lace Bra and Panty Set with Garter Belt, Belle, Short, in shape, Oval Face, Dark Skin, Light Brown Hair, red Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Triple Braided Crown, small breasts, Clip-on earrings, cream gloss lipstick, Floating in Melted chocolate
Fuchsia Mesh Halter Bra and Panty Set, Artist, Short, Athletic, Diamond-Shaped Face, Dark Skin, Brunette Hair, teal Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Low Messy Bun, natural breasts, Threader earrings, light pink stain lipstick, Smothered in Bubble solution
Teal Velvet Chemise with Ruffles , Countess, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Silver Hair, yellow Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, saggy breasts, Hoop earrings, green velvet lipstick, Submerged in Bubble solution
Maroon Satin and Lace Corset , Trailblazer, Average Height, Toned, Triangular Face, Tan Skin, Gray Hair, purple Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Four-Strand Braid, small breasts, golden gloss lipstick, Steeped in Melted chocolate
Pink Lace Chemise with Ruffle Details, Songstress, Short, Slim, Heart-Shaped Face, Olive Skin, Red Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Curled Bob, augmented breasts, Threader earrings, grape matte lipstick, Saturated in Gelatin
Charcoal Sheer Bra and Panty Set, Maven, Tall, Thin, Round Face, Tan Skin, White Hair, amethyst Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Swept Bangs, natural breasts, Stud earrings, hot pink cream lipstick, Floating in Bubble solution
Gold Mesh Bra and Panty Set with Garter Belt, Belle, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Blonde Hair, green Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Low Updo, saggy breasts, Dangle earrings, teal sheer lipstick, Floating in Milk
Black Cutout Bodysuit with Zipper, Gal, Average Height, Fit, Round Face, Dark Skin, Strawberry Blonde Hair, Green Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Bob with Bangs, large breasts, Dangle earrings, light pink velvet lipstick, Surrounded by Liquid soap
White Sheer Teddy with Lace Trim, Trailblazer, Average Height, Fit, Round Face, Tan Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Long Straight Hair, full breasts, Clip-on earrings, rose gloss lipstick, Immersed in Gelatin
Purple Velvet Slip with Lace Trim, Madame, Average Height, Toned, Round Face, Olive Skin, Brunette Hair, black Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Straight Hair, asymmetrical breasts, Dangle earrings, fuchsia satin lipstick, Steeped in Soda
Crimson Velvet Cami and Short Set , Female Warrior, Short, Athletic, Oval Face, Fair Skin, Red Hair, green Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Fishtail Crown Braid, saggy breasts, terracotta sheer lipstick, Engulfed in Liquid soap
Mint Green Mesh Teddy , Belle, Short, in shape, Triangular Face, Dark Skin, Platinum Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Straight Hair, Ballerina Bun, firm breasts, Huggie earrings, green velvet lipstick, Submerged in Liquid soap
Blue Satin and Lace Cami and Short Set, Trailblazer, Tall, Narrow Hips, Heart-Shaped Face, Fair Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Fauxhawk, firm breasts, Dangle earrings, rust stain lipstick, Soaking in Bubble solution
Brown Strappy Bodysuit, Femme fatale, Tall, Slim, Square Face, Fair Skin, Silver Hair, coral Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Thick Hair, Formal Updo, augmented breasts, Cuff earrings, light pink cream lipstick, Immersed in Soda
Black Leather Bralette and Panty Set, Luminary, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Silver Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Tapered Afro, round breasts, Faux gauge earrings, fuchsia sheer lipstick, Saturated in Soda
Red Mesh Chemise with Strappy Back Detail, Baroness, Tall, Firm, Round Face, Fair Skin, Blonde Hair, hazel Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Stacked Bob, natural breasts, Huggie earrings, gloss metallic lipstick, Smothered in Milk
Gold Strappy Bodysuit, Queen, Average Height, Wide Hips, Square Face, Olive Skin, Light Brown Hair, dark brown Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Formal Updo, natural breasts, Threader earrings, plum matte lipstick, Submerged in Syrup
Cream Sequin Bra and Pant Set, Empress, Short, Narrow Hips, Oval Face, Fair Skin, Chestnut Hair, ruby Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Bangs with Highlights, perky breasts, Clip-on earrings, pink gloss lipstick, Steeped in Foam
White Sheer Teddy with Lace Trim, Phenom, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Gray Hair, Green Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Updo, augmented breasts, Faux gauge earrings, grape cream lipstick, Coated in Soda
Gold Mesh Bra and Panty Set with Garter Belt, Madam, Short, Firm, Oval Face, Dark Skin, Brunette Hair, red Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Afro, soft breasts, red metallic lipstick, Immersed in Syrup
Red Lace Bra and Panty Set with Garter Belt, Babe, Short, Firm, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Bun, full breasts, Threader earrings, beige metallic lipstick, Saturated in Melted chocolate
Purple Velvet Bra and Panty Set with Lace Trim, Chanteuse, Short, Lean, Diamond-Shaped Face, Fair Skin, Brunette Hair, hazel Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Dutch Braid, perky breasts, Clip-on earrings, fuchsia gloss lipstick, Engulfed in Saltwater
Black Mesh Bodysuit with Embroidered Flowers, Luminary, Average Height, Athletic, Round Face, Fair Skin, Dark Brown Hair, jade Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Curled Bob, asymmetrical breasts, Clip-on earrings, soft pink velvet lipstick, Engulfed in Saltwater
Blue Strappy Bodysuit with Cutouts, Enigma, Average Height, Firm, Round Face, Tan Skin, Silver Hair, Blue Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Wedding Updo, firm breasts, Huggie earrings, berry stain lipstick, Submerged in Bubble solution
Mint Green Mesh Teddy , Diva, Tall, Wide Hips, Oval Face, Tan Skin, Light Brown Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Wedding Updo, soft breasts, Dangle earrings, coral sheer lipstick, Floating in Non-toxic slime
Blue Satin and Lace Cami and Short Set, Maven, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Red Hair, brown Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Four-Strand Braid, small breasts, Dangle earrings, light pink gloss lipstick, Floating in Bubble solution
Purple Velvet Robe with Fur Trim , Siren, Tall, Lean, Oval Face, Tan Skin, Silver Hair, purple Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wavy Updo, full breasts, hot pink metallic lipstick, Steeped in Non-toxic slime
Silver Sequin Bralette, Songstress, Average Height, Narrow Hips, Diamond-Shaped Face, Olive Skin, Brunette Hair, purple Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Frohawk, asymmetrical breasts, Hoop earrings, mauve satin lipstick, Steeped in Mud
Silver Sequin Bralette, Femme fatale, Average Height, Wide Hips, Heart-Shaped Face, Dark Skin, White Hair, green Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Fine Hair, French Twist, natural breasts, Drop earrings, black velvet lipstick, Immersed in Saltwater
Silver Silk Bra and Panty Set with Garter Belt, Dame, Average Height, Wide Hips, Square Face, Olive Skin, Golden Blonde Hair, peach Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Straight Hair, perky breasts, Stud earrings, brown matte lipstick, Marinating in Melted chocolate
Green Sequin Slip Dress with Thigh-High Slits, Gal, Average Height, Firm, Heart-Shaped Face, Dark Skin, Gray Hair, Amber Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Bun, augmented breasts, cream cream lipstick, Engulfed in Cooking oil
Green Sequin Slip Dress with Thigh-High Slits, Female Warrior, Average Height, Toned, Round Face, Fair Skin, White Hair, light blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, High Ponytail, augmented breasts, Threader earrings, brown stain lipstick, Plunged in Ball pit filled with water beads
White Sheer Teddy with Lace Trim, Baroness, Tall, Athletic, Square Face, Olive Skin, Red Hair, turquoise Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Messy Top Knot, firm breasts, Faux gauge earrings, cream matte lipstick, Surrounded by Foam
White Satin and Lace Bra and Panty Set, Enchantress, Short, Skinny, Heart-Shaped Face, Tan Skin, Gray Hair, green Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Straight Hair, firm breasts, Huggie earrings, soft pink metallic lipstick, Soaking in Bubble solution
White Sheer Teddy with Lace Trim, Madam, Short, in shape, Square Face, Tan Skin, Red Hair, coral Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Messy Bun, full breasts, Dangle earrings, lavender cream lipstick, Drenched in Foam
Teal Velvet Chemise with Ruffles , Maven, Average Height, Fit, Oval Face, Tan Skin, Blonde Hair, peach Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Curly Afro, perky breasts, Drop earrings, green sheer lipstick, Immersed in Glycerin
Grey Faux Leather Corset , Miss, Average Height, Athletic, Oval Face, Dark Skin, Strawberry Blonde Hair, peach Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, soft breasts, Clip-on earrings, rose cream lipstick, Smothered in Glycerin
White Lace Bralette and Boyshorts Set, Miss, Tall, Slim, Diamond-Shaped Face, Tan Skin, Red Hair, yellow Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Low Chignon, large breasts, Stud earrings, coral metallic lipstick, Steeped in Milk
Pink Floral Corset, Mistress, Average Height, Toned, Triangular Face, Tan Skin, Blonde Hair, brown Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Long Wavy Hair, perky breasts, Drop earrings, golden sheer lipstick, Floating in Liquid soap
Pink Lace Garter Slip with Matching Thong, Female Viking, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Chestnut Hair, brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Low Chignon, asymmetrical breasts, Drop earrings, light pink cream lipstick, Steeped in Cooking oil
Blue Satin and Lace Cami and Short Set, Female Viking, Average Height, Narrow Hips, Square Face, Fair Skin, Red Hair, Amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Bun, small breasts, Stud earrings, magenta gloss lipstick, Soaking in Liquid soap
Ivory Lace Teddy, Chanteuse, Average Height, Wide Hips, Round Face, Tan Skin, Red Hair, peach Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, round breasts, Huggie earrings, black velvet lipstick, Smothered in Non-toxic slime
Blue Satin and Lace Cami and Short Set, Visionary, Average Height, Firm, Heart-Shaped Face, Fair Skin, Auburn Hair, ice blue Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Boho Braid, large breasts, Faux gauge earrings, rust satin lipstick, Saturated in Ball pit filled with water beads
Red Mesh Chemise with Strappy Back Detail, Lady, Short, Fit, Square Face, Tan Skin, Platinum Blonde Hair, green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fancy Updo, round breasts, Clip-on earrings, beige matte lipstick, Steeped in Syrup
Gold Mesh Bra and Panty Set with Garter Belt, Enchantress, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Light Brown Hair, green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Fine Hair, Wavy Bob, perky breasts, Drop earrings, lavender cream lipstick, Surrounded by Glycerin
White Satin and Lace Bra and Panty Set, Enigma, Short, Firm, Triangular Face, Fair Skin, Strawberry Blonde Hair, red Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Angled Bob, augmented breasts, Clip-on earrings, burgundy metallic lipstick, Coated in Mud
White Lace Bralette and Boyshorts Set, Dame, Tall, Slim, Square Face, Olive Skin, Brunette Hair, gold Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, small breasts, Faux gauge earrings, coral matte lipstick, Engulfed in Soda
Pink Lace Garter Slip with Matching Thong, Visionary, Tall, Narrow Hips, Round Face, Tan Skin, Platinum Blonde Hair, ruby Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Low Messy Bun, asymmetrical breasts, Stud earrings, orange sheer lipstick, Soaking in Syrup
Blue Sheer Babydoll with Satin Trim, Queen, Tall, Skinny, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, Hazel Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Long Straight Hair, soft breasts, rose velvet lipstick, Soaking in Glycerin
Blue Satin and Lace Cami and Short Set, Miss, Short, Slim, Oval Face, Tan Skin, Strawberry Blonde Hair, light blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Fishtail Braid, large breasts, Cuff earrings, rose velvet lipstick, Floating in Mud
Brown Strappy Bodysuit, Femme fatale, Average Height, Thin, Triangular Face, Olive Skin, Brunette Hair, hazel Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Four-Strand Braid, soft breasts, Threader earrings, terracotta stain lipstick, Steeped in Baby oil
Yellow Mesh Bralette and High-Waisted Panty Set, Phenom, Tall, Slim, Oval Face, Dark Skin, Auburn Hair, black Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Formal Updo, small breasts, Clip-on earrings, light pink metallic lipstick, Saturated in Gelatin
White Satin and Lace Bra and Panty Set, Sensation, Average Height, in shape, Heart-Shaped Face, Dark Skin, Black Hair, gold Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, French Twist, augmented breasts, Stud earrings, coral gloss lipstick, Coated in Cooking oil
Pink Lace Garter Slip with Matching Thong, Duchess, Short, Narrow Hips, Round Face, Fair Skin, Dark Brown Hair, grey-blue Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Afro, perky breasts, Cuff earrings, soft pink metallic lipstick, Smothered in Quicksand
Green Satin Robe with Lace Trim, Visionary, Average Height, Firm, Heart-Shaped Face, Tan Skin, Light Brown Hair, brown Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Four-Strand Braid, perky breasts, Stud earrings, cream stain lipstick, Marinating in Water
Green Satin Robe with Lace Trim, Chanteuse, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Auburn Hair, teal Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Sleek Straight Hair, firm breasts, mauve satin lipstick, Steeped in Baby oil
